source_id	subject_id	session_id	bold_num	t1w_num	t2w_num	bold_size	t1w_size	bold_duration_total	bold_duration_mean	bold_voxels_total	bold_voxels_mean	datatypes
ds005752	sub-ON01016	ses-01	2	1	1	53075453	6485138	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON05258	ses-01	0	1	1	0	7168514	n/a	n/a	n/a	n/a	anat,dwi,fmap,perf
ds005752	sub-ON10965	ses-01	2	1	1	50766374	7004285	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,meg,perf
ds005752	sub-ON17159	ses-01	0	1	1	0	6104858	n/a	n/a	n/a	n/a	anat,fmap,perf
ds005752	sub-ON22662	ses-01	2	1	1	54934368	7493546	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON23483	ses-01	0	1	1	0	6458244	n/a	n/a	n/a	n/a	anat,fmap,meg,perf
ds005752	sub-ON23897	ses-01	2	1	1	55717902	7768980	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON25658	ses-01	2	1	1	51766339	7162739	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,meg,perf
ds005752	sub-ON28693	ses-01	2	1	1	54501302	7463018	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,meg,perf
ds005752	sub-ON30535	ses-01	2	1	1	50419349	5853619	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON31551	ses-01	0	1	1	0	7750867	n/a	n/a	n/a	n/a	anat,fmap,perf
ds005752	sub-ON35920	ses-01	0	1	1	0	5791442	n/a	n/a	n/a	n/a	anat,fmap,perf
ds005752	sub-ON38044	ses-01	2	1	1	52457878	7669342	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON40397	ses-01	2	1	1	51488436	6698118	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,meg,perf
ds005752	sub-ON40757	ses-01	2	1	1	52249426	6948096	630.0	315.0	393216	196608.0	anat,dwi,fmap,func
ds005752	sub-ON41606	ses-01	2	1	1	52415691	6564359	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON43001	ses-01	0	1	1	0	6443316	n/a	n/a	n/a	n/a	anat,fmap,perf
ds005752	sub-ON48190	ses-01	2	1	1	54478487	7349253	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON48555	ses-01	0	1	0	0	6641231	n/a	n/a	n/a	n/a	anat,fmap,meg,perf
ds005752	sub-ON55820	ses-01	2	1	1	51499707	5972287	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON59735	ses-01	0	1	1	0	8151908	n/a	n/a	n/a	n/a	anat,fmap,perf
ds005752	sub-ON65553	ses-01	2	1	1	55787251	7392860	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON65697	ses-01	0	1	1	0	6699564	n/a	n/a	n/a	n/a	anat,fmap,perf
ds005752	sub-ON66557	ses-01	2	1	1	51153950	6174215	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON67121	ses-01	0	1	1	0	6456954	n/a	n/a	n/a	n/a	anat,fmap,perf
ds005752	sub-ON72409	ses-01	0	1	1	0	6754837	n/a	n/a	n/a	n/a	anat,fmap,meg,perf
ds005752	sub-ON84478	ses-01	0	1	1	0	6048046	n/a	n/a	n/a	n/a	anat,fmap,perf
ds005752	sub-ON86779	ses-01	2	1	1	51141738	6341752	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON87538	ses-01	2	2	1	45132243	21349134	630.0	315.0	393216	196608.0	anat,dwi,fmap,func
ds005752	sub-ON92067	ses-01	0	1	0	0	6078352	n/a	n/a	n/a	n/a	anat,perf
ds005752	sub-ON93016	ses-01	2	1	1	55303882	7349840	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON94663	ses-01	2	1	1	54635835	7384862	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON98018	ses-01	2	1	1	53874357	6910585	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON98806	ses-01	2	2	1	50304254	22607684	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON99299	ses-01	2	1	1	53451388	6728319	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON00400	ses-01	8	2	2	274181089	18811371	2520.0	315.0	1575936	196992.0	anat,dwi,func,perf
ds005752	sub-ON01016	ses-01	2	1	1	53075453	6485138	630.0	315.0	393216	196608.0	anat,dwi,fmap,func,perf
ds005752	sub-ON01802	ses-01	2	2	2	54953878	22517692	630.0	315.0	393216	196608.0	anat,dwi,func,perf
ds005752	sub-ON02693	ses-01	2	2	2	54591350	22216912	630.0	315.0	393216	196608.0	anat,dwi,func,perf
ds005752	sub-ON02747	ses-01	2	2	2	50933636	22045494	630.0	315.0	393216	196608.0	anat,dwi,func,meg,perf
ds005752	sub-ON02747_ses-01_task-airpuff_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02747_ses-01_task-artifact_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02747_ses-01_task-gonogo_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02747_ses-01_task-haririhammer_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02747_ses-01_task-movie_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02747_ses-01_task-noise_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02747_ses-01_task-oddball_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02747_ses-01_task-rest_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02747_ses-01_task-sternberg_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02811	ses-01	2	2	2	49835163	20231533	630.0	315.0	393216	196608.0	anat,dwi,func,meg,perf
ds005752	sub-ON02811_ses-01_task-airpuff_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02811_ses-01_task-artifact_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02811_ses-01_task-gonogo_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02811_ses-01_task-haririhammer_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02811_ses-01_task-movie_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02811_ses-01_task-noise_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02811_ses-01_task-oddball_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02811_ses-01_task-rest_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02811_ses-01_task-rest_run-02_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON02811_ses-01_task-sternberg_run-01_meg.ds	n/a	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
ds005752	sub-ON03748	ses-01	2	2	2	54050993	22426313	630.0	315.0	393216	196608.0	anat,dwi,func,meg,perf
